<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DRE.US,D,20051117,000000,21.9607,22.3327,21.9607,22.276,635617.1781881,0
DRE.US,D,20051118,000000,22.2223,22.462,22.1198,22.4391,852203.8339539,0
DRE.US,D,20051121,000000,22.3953,22.4212,22.2034,22.4033,1110924.2784445,0
DRE.US,D,20051122,000000,22.269,22.6649,22.2561,22.6171,623600.78411444,0
DRE.US,D,20051123,000000,22.5525,22.7146,22.4391,22.6898,692197.38311477,0
DRE.US,D,20051125,000000,22.6838,22.7952,22.5575,22.7892,371879.84895622,0
DRE.US,D,20051128,000000,22.7464,22.8598,22.458,22.458,919123.44623109,0
DRE.US,D,20051129,000000,22.4918,22.644,22.4152,22.5057,489905.33000454,0
DRE.US,D,20051130,000000,22.5406,22.5873,22.3217,22.3506,1072440.0471567,0
DRE.US,D,20051201,000000,22.453,22.6838,22.453,22.6171,1034719.9105389,0
DRE.US,D,20051202,000000,22.6221,22.6967,22.3506,22.6579,521847.50337421,0
DRE.US,D,20051205,000000,22.5207,22.638,22.2889,22.3386,834098.81182551,0
DRE.US,D,20051206,000000,22.3506,22.4679,22.2491,22.2949,715618.89552608,0
DRE.US,D,20051207,000000,21.9945,22.0969,21.8383,22.0104,1305149.1004598,0
DRE.US,D,20051208,000000,22.084,22.2143,21.9458,22.0711,950307.5572571,0
DRE.US,D,20051209,000000,22.4998,22.6838,22.3506,22.6102,1384995.9880883,0
DRE.US,D,20051212,000000,22.4829,22.6838,22.3655,22.458,1140887.8487739,0
DRE.US,D,20051213,000000,22.3655,22.651,22.3655,22.5953,759578.46835714,0
DRE.US,D,20051214,000000,22.644,22.8161,22.5326,22.7196,762163.32019477,0
DRE.US,D,20051215,000000,22.835,23.0717,22.638,22.7196,1241572.4023639,0
DRE.US,D,20051216,000000,22.8081,22.9991,22.7842,22.828,770073.71080484,0
DRE.US,D,20051219,000000,22.7256,22.8767,22.4152,22.4212,1044756.6961846,0
DRE.US,D,20051220,000000,22.3506,22.6838,22.3038,22.5057,746337.51203601,0
DRE.US,D,20051221,000000,22.5057,22.6649,22.3575,22.5266,600634.71234196,0
DRE.US,D,20051222,000000,22.4829,22.5266,22.276,22.4998,778435.52050286,0
DRE.US,D,20051223,000000,22.5833,22.6967,22.5455,22.5833,420396.84433881,0
DRE.US,D,20051227,000000,22.5873,22.7335,22.453,22.5207,435762.18492012,0
DRE.US,D,20051228,000000,22.5525,22.5793,22.3217,22.4391,519869.90572169,0
DRE.US,D,20051229,000000,22.4341,22.5833,22.2272,22.265,662081.99923906,0
DRE.US,D,20051230,000000,22.2342,22.3217,21.9338,21.9607,1435801.24593,0
DRE.US,D,20060103,000000,21.909,22.6838,21.902,22.6221,993802.6409598,0
DRE.US,D,20060104,000000,22.5525,22.7703,22.4829,22.7096,713792.10603212,0
DRE.US,D,20060105,000000,22.7096,23.1363,22.6709,22.9852,1088866.0717865,0
DRE.US,D,20060106,000000,23.1165,23.3204,23.013,23.2587,918972.63807254,0
DRE.US,D,20060109,000000,23.2905,23.5083,23.1652,23.5034,897074.28806263,0
DRE.US,D,20060110,000000,23.3412,23.8674,23.3412,23.6486,877449.119696,0
DRE.US,D,20060111,000000,23.6347,23.8008,23.4467,23.5501,1208412.7044608,0
DRE.US,D,20060112,000000,23.5034,23.6227,23.3591,23.5899,1056016.0333024,0
DRE.US,D,20060113,000000,23.5083,23.5292,23.1562,23.3204,1014794.1312429,0
DRE.US,D,20060117,000000,22.9921,23.4387,22.9852,23.4208,670904.27651452,0
DRE.US,D,20060118,000000,23.2517,23.5163,23.1562,23.2756,507398.07100919,0
DRE.US,D,20060119,000000,23.209,23.7809,23.209,23.7739,580096.65192222,0
DRE.US,D,20060120,000000,23.6953,23.7878,23.3711,23.4646,755773.07582294,0
DRE.US,D,20060123,000000,23.4387,23.6884,23.4387,23.6038,490213.98403571,0
DRE.US,D,20060124,000000,23.5362,23.7351,23.5163,23.6486,933727.70830556,0
DRE.US,D,20060125,000000,23.572,23.8127,23.4855,23.6834,688242.18780973,0
DRE.US,D,20060126,000000,23.7679,23.8724,23.3472,23.5581,1676724.3169357,0
DRE.US,D,20060127,000000,23.6705,23.951,23.565,23.8256,967343.85223519,0
DRE.US,D,20060130,000000,23.7938,23.8674,23.6297,23.8127,993501.02464269,0
DRE.US,D,20060131,000000,23.7003,23.9997,23.6416,23.8515,1385459.4718289,0
DRE.US,D,20060201,000000,23.8515,24.2285,23.391,23.4994,5912493.1740245,0
DRE.US,D,20060202,000000,23.4059,23.4208,23.1781,23.3412,1359601.9049631,0
DRE.US,D,20060203,000000,23.02,23.209,22.7256,22.9852,1126740.032726,0
DRE.US,D,20060206,000000,23.0299,23.1781,22.9633,23.1105,1030005.6475025,0
DRE.US,D,20060207,000000,23.0976,23.1562,22.8718,22.8767,849465.15779454,0
DRE.US,D,20060208,000000,22.9006,22.9265,22.5953,22.8031,811137.76699165,0
DRE.US,D,20060209,000000,22.8161,22.9712,22.6898,22.8767,602460.4964482,0
DRE.US,D,20060210,000000,22.5704,22.7256,22.3655,22.4391,716534.80374237,0
DRE.US,D,20060213,000000,22.4212,22.5704,22.4033,22.4679,570976.77988053,0
DRE.US,D,20060214,000000,22.453,22.6838,22.1706,22.651,2729698.0469862,0
DRE.US,D,20060215,000000,22.5207,22.835,22.453,22.7624,710148.58092143,0
DRE.US,D,20060216,000000,22.7952,22.8937,22.5793,22.7405,599871.62305967,0
DRE.US,D,20060217,000000,22.7196,22.9533,22.6171,22.9404,701627.91996307,0
DRE.US,D,20060221,000000,23.0448,23.1055,22.7892,23.0498,1045219.1745375,0
DRE.US,D,20060222,000000,23.013,23.3989,22.9852,23.2965,662081.99923906,0
DRE.US,D,20060223,000000,23.3412,23.572,23.1562,23.4318,712882.23014217,0
DRE.US,D,20060224,000000,23.4268,23.4715,23.1901,23.2468,728092.74101403,0
DRE.US,D,20060227,000000,23.3074,23.4129,23.1493,23.2229,603981.64807416,0
DRE.US,D,20060228,000000,23.209,23.3074,22.9852,23.0777,1649201.8279994,0
DRE.US,D,20060301,000000,23.1224,23.2279,22.9712,23.209,775541.00924632,0
DRE.US,D,20060302,000000,23.209,23.3412,23.0896,23.3412,772962.18973503,0
DRE.US,D,20060303,000000,23.209,23.3711,23.1413,23.1901,793646.03137471,0
DRE.US,D,20060306,000000,23.2468,23.7272,23.2328,23.7272,517284.04849633,0
DRE.US,D,20060307,000000,23.7003,23.7351,23.4208,23.4526,850985.30403277,0
DRE.US,D,20060308,000000,23.3711,23.572,23.1831,23.5501,713641.29787356,0
DRE.US,D,20060309,000000,23.572,24.0335,23.5362,24.0047,664210.40505013,0
DRE.US,D,20060310,000000,23.8982,24.2414,23.8127,24.1708,1601132.2301539,0
DRE.US,D,20060313,000000,24.2006,24.5239,24.1937,24.3657,1014794.1312429,0
DRE.US,D,20060314,000000,24.2613,24.4184,24.1549,24.2862,684289.00328014,0
DRE.US,D,20060315,000000,24.2484,24.8541,24.2484,24.6999,733268.47701563,0
DRE.US,D,20060316,000000,24.7536,25.0461,24.7138,24.8412,760488.34424709,0
DRE.US,D,20060317,000000,24.9178,25.0461,24.7337,24.9625,860261.01117163,0
DRE.US,D,20060320,000000,24.9048,25.0172,24.4572,24.6711,636223.42698549,0
DRE.US,D,20060321,000000,24.689,24.8412,24.2613,24.5845,1033199.7643007,0
DRE.US,D,20060322,000000,24.6204,24.7994,24.4184,24.7626,532952.01078248,0
DRE.US,D,20060323,000000,24.7278,24.9496,24.6422,24.8989,573560.62633044,0
DRE.US,D,20060324,000000,24.8541,24.878,24.5239,24.6562,958365.73986255,0
DRE.US,D,20060327,000000,24.5925,24.6422,24.1937,24.2086,657669.35251974,0
DRE.US,D,20060328,000000,24.0922,24.8849,24.0624,24.8044,975549.82683603,0
DRE.US,D,20060329,000000,24.8849,25.3236,24.8849,25.3106,729460.06831826,0
DRE.US,D,20060330,000000,25.2529,25.3445,24.6999,24.9555,869848.38850483,0
DRE.US,D,20060331,000000,24.8849,25.0719,24.6422,24.9496,1004149.0860244,0
DRE.US,D,20060403,000000,24.9178,24.9178,24.2862,24.3379,1257239.3592623,0
DRE.US,D,20060404,000000,24.2951,24.6204,24.0624,24.4184,828932.12431341,0
DRE.US,D,20060405,000000,24.4254,24.6999,24.3926,24.5388,430740.27324024,0
DRE.US,D,20060406,000000,24.4891,24.5945,24.319,24.3926,747100.6013183,0
DRE.US,D,20060407,000000,24.3249,24.4702,24.1081,24.2145,812814.75371478,0
DRE.US,D,20060410,000000,24.133,24.1499,23.7272,23.8008,772502.7275453,0
DRE.US,D,20060411,000000,23.8515,23.8923,23.578,23.6227,778133.90418575,0
DRE.US,D,20060412,000000,23.6088,23.7878,23.385,23.578,912284.79893449,0
DRE.US,D,20060413,000000,23.4715,23.5034,22.9324,23.1781,911520.70426447,0
DRE.US,D,20060417,000000,23.1105,23.3412,23.0717,23.1413,693107.25900471,0
DRE.US,D,20060418,000000,23.1831,23.6297,23.0299,23.4855,1197616.8510837,0
DRE.US,D,20060419,000000,23.4526,23.8982,23.3283,23.7679,907720.33866889,0
DRE.US,D,20060420,000000,23.7739,23.8008,23.3711,23.6953,662231.80200989,0
DRE.US,D,20060421,000000,23.6953,23.7351,23.5083,23.6038,652808.30287565,0
DRE.US,D,20060424,000000,23.578,23.6088,23.2965,23.4715,479866.53358339,0
DRE.US,D,20060425,000000,23.5451,23.5451,23.1562,23.1702,774637.16568272,0
DRE.US,D,20060426,000000,23.2328,23.3074,23.02,23.1105,1073962.2041704,0
DRE.US,D,20060427,000000,22.9484,23.4208,22.6898,23.3134,905136.49221898,0
DRE.US,D,20060428,000000,23.3711,23.6486,23.2398,23.2756,906804.4304526,0
